阿Q	ĀQ
以眼还眼，以牙还牙	yǐyǎn-huányǎn,yǐyá-huányá
以子之矛，攻子之盾	yǐzizhīmáo,gōngzizhīdùn
吟哦	yín'é
银耳	yín'ěr
幼子	yòuzǐ
芫花	yuánhuā
员额	yuán'é
原来如此	yuánlái-rúcǐ
月氏	yuèzhī
咋舌	zéshé
啫喱	zhělí
蹢躅	zhízhú
妯娌	zhóuli
转氨酶	zhuǎn'ānméi
昨儿	zuór
爱人	àiren
暗地里	àndìlǐ
八哥	bāge
巴不得	bābudé
巴结	bājie
巴黎公社	Bālí	Gōngshè
扒拉	bālɑ
把手	báshou
白净	báijing
摆布	bǎibù
棒槌	bàngchui
包袱	bāofu
包涵	bāohán
报酬	bàochou
辈分	bèifen
比方	bǐfɑng
扁担	biǎndɑn
便当	biàndɑng
憋闷	biēmen
别扭	bièniu
拨拉	bōlɑ
拨弄	bōnong
簸箕	bòji
补丁	bǔding
不是	bùshi
财主	cáizhu
苍蝇	cāngying
差事	chāishi/chàshì
柴火	cháihuo
搀和	chānhuo
颤悠	chànyou
长处	chángchu
称呼	chēnghu
抽搭	chōudɑ
抽屉	chōuti
出落	chūluo
出息	chūxi
窗户	chuānghu
刺猬	cìwei
凑合	còuhe
错处	cuòchu
耷拉	dālɑ
搭理	dāli
答应	dāying
打扮	dǎbɑn
打点	dǎdiɑn
打发	dǎfɑ
打听	dǎting
耽搁	dānge
耽误	dānwu
叨唠	dáolɑo
倒腾	dǎoteng
道士	dàoshi
灯笼	dēnglong
嘀咕	dígu
底下	dǐxiɑ
弟兄	dìxiong
点拨	diǎnbo
点心	diǎnxin
东边	dōngbiɑn
动静	dòngjing
兜肚	dōudu
斗篷	dǒupeng
豆腐	dòufu
嘟噜	dūlu
队伍	duìwu
对付	duìfu
恶心	ěxin
耳朵	ěrduo
风筝	fēngzheng
奉承	fèngcheng
扶手	fúsheu
福分	fúfen
福气	fúqi
富余	fùyu
干巴	gānbɑ
干事	gànshi
甘蔗	gānzhe
高粱	gāoliɑng
膏药	gāoyɑo
告示	gàoshi
胳臂	gēbei
胳膊	gēbo
工夫	gōngfu
工钱	gōngqiɑn
公家	gōngjiɑ
功夫	gōngfu
勾搭	gōudɑ
估摸	gūmo
姑娘	gūniɑng
寡妇	guǎfu
怪不得	guàibude
官司	guānsi
棺材	guāncɑi
归置	guīzhi
规矩	guīju
闺女	guīnü
哈欠	hāqiɑn
含糊	hánhu
寒碜	hánchen
合同	hétong
和气	héqi
和尚	héshɑng
核桃	hétɑo
后边	hòubiɑn
后面	hòumiɑn
厚道	hòudɑo
厚实	hòushɑ
狐狸	húli
胡琴	húqin
葫芦	húlu
糊涂	hútu
护士	hùshi
花哨	huāshɑo
还是	háishi
黄瓜	huángguā
晃荡	huàngdɑng
晃悠	huàngyou
豁出去	huōchuqu
活泛	huófɑn
活计	huóji
活泼	huópo
伙计	huǒji
叽咕	jīgu
饥荒	jīhuɑng
机灵	jīling
脊梁	jǐliɑng
记号	jìhɑo
记性	jìxing
忌妒	jìdu
价钱	jiàqiɑn
架势	jiàshi
嫁妆	jiàzhuɑng
奸细	jiānxi
煎饼	jiānbing
见识	jiànshi
缰绳	jiāngsheng
讲究	jiǎngjiu
交情	jiāoqing
娇嫩	jiāonen
叫唤	jiàohuɑn
街坊	jiēfɑng
节气	jiéqi
结巴	jiēbɑ
结实	jiēshi
姐夫	jiěfu
戒指	jièzhi
芥末	jièmo
进项	jìnxiɑng
救应	jiùying
舅母	jiùmi
磕打	kēdɑ
咳嗽	késou
窟窿	kūlong
快当	kuàidɑng
快活	kuàihuo
宽敞	kuānchɑng
困难	kùnnɑn
阔绰	kuòchuo
拉扯	lāche
来路	láilu
烂糊	lànhu
牢靠	láokɑo
老婆	lǎopo
老实	lǎoshi
老爷	lǎoye
累赘	léizhui
冷清	lěngqing
篱笆	líbɑ
厉害	lìhɑi
利落	lìluo
利索	lìsuo
莲蓬	liánpeng
凉快	liángkuɑi
粮食	liángshi
铃铛	língdɑng
菱角	língjiɑo
骆驼	luòtuo
麻烦	máfɑn
麻利	máli
马虎	mǎhu
卖弄	màinong
忙乎	mánghu
玫瑰	méigui
眉毛	méimɑo
门路	ménlu
门面	ménmiɑn
迷糊	míhu
眯缝	mífeng
密实	mìshi
棉花	miánhuɑ
苗条	miáotiɑo
名堂	míngtɑng
名字	míngzi
明白	míngbɑi
模糊	móhu
磨蹭	móceng
蘑菇	mógu
牡丹	mǔdɑn
木匠	mùjiɑng
难为	nánwei
脑袋	nǎodɑi
闹腾	nàoteng
能耐	néngnɑi
腻烦	nìfɑn
年成	niáncheng
年月	niányue
黏糊	niánhu
念叨	niàndɑo
娘家	niángjiɑ
扭搭	niǔdɑ
扭捏	niǔnie
奴才	núcɑi
女婿	nǚxu
疟疾	nüèji
暖和	nuǎnhuo
挪动	nuódong
拍打	pāidɑ
牌楼	páilou
盘缠	pánchɑn
盘算	pánsuɑn
炮仗	pàozhɑng
朋友	péngyou
皮匠	píjiɑng
皮实	píshi
疲塌	pítɑ
脾气	píqi
屁股	pìgu
篇幅	piānfu
漂亮	piàoliɑng
苤蓝	piělɑn
婆家	pójiɑ
笸箩	pǒluo
欺负	qīfu
漆匠	qījiɑng
气性	qìxing
前面	qiánmiɑn
俏皮	qiàopi
亲家	qìnggu
亲戚	qīnqi
勤快	qínkuɑi
清楚	qīngchu
情形	qíngxing
热和	rèhuo
热乎	rèhu
热闹	rènɑo
认识	rènshi
任务	rènwu
软和	ruǎnhuo
洒脱	sǎtuo
扫帚	sàozhou
嫂夫人	sǎofūren
山里红	shānlihóng
山药	shānyɑo
上边	shàngbiɑn
上面	shàngmiɑn
上年纪	shàngniánji
上司	shàngsi
烧饼	shāobing
烧卖	shāomɑi
芍药	sháoyɑo
少爷	shàoye
身分	shēnfen
神甫	shénfu
生分	shēngfen
牲口	shēngkou
尸首	shīshou
师父	shīfu
师傅	shīfu
师爷	shīye
石榴	shíliu
时辰	shíchen
时候	shíhou
拾掇	shíduo
使唤	shǐhuɑn
事情	shìqing
势利眼	shìliyǎn
收成	shōucheng
收拾	shōushi
寿数	shòushu
书记	shūji
叔伯	shūbɑi
疏忽	shūhu
舒服	shūfu
舒坦	shūtɑn
熟识	shúshi
数落	shǔluo
摔打	shuāidɑ
爽快	shuǎngkuɑi
顺当	shùndɑng
说合	shuōhe
说和	shuōhe
私房	sīfɑng
伺候	cìhou
松快	sōngkuɑi
俗气	súqi
素净	sùjing
算计	suànji
随和	suíhe
岁数	suìshu
踏实	tāshi
抬举	táiju
态度	tàidu
坦荡	tǎndɑng
探口气	tànkǒuqi
套近乎	tàojìnhu
踢腾	tīteng
提防	dǐfɑng
嚏喷	tìpen
添补	tiānbu
笤帚	tiáozhou
停当	tíngdɑng
头发	tóufɑ
头面	tóumiɑn
吐沫	tùmo
妥当	tuǒdɑng
唾沫	tuòmo
外甥	wàisheng
晚上	wǎnshɑng
王八	wángbɑ
王爷	wángye
忘性	wàngxing
尾巴	wěibɑ
委屈	wěiqu
位置	wèizhi
味道	wèidɑo
稳当	wěndɑng
窝囊	wōnɑng
窝棚	wōpeng
悟性	wùxing
稀罕	xīhɑn
喜欢	xǐhuɑn
虾米	xiāmi
下巴	xiàbɑ
吓唬	xiàhu
先生	xiānsheng
相公	xiànggong
相声	xiàngsheng
响动	xiǎngdong
消息	xiāoxi
小拇指	xiǎomuzhǐ
小算盘	xiǎosuànpɑn
笑话	xiàohuɑ
歇息	xiēxi
心思	xīnsi
薪水	xīnshui
行当	hángdɑng
行方便	xíngfāngbiɑn
行家	hángjiɑ
行李	xíngli
休息	xiūxi
秀才	xiùcɑi
畜生	chùsheng
絮烦	xùfɑn
玄乎	xuánhu
学问	xuéwen
牙碜	yáchen
牙口	yákou
衙门	yámen
哑巴	yǎbɑ
雅致	yǎzhi
烟筒	yāntong
胭脂	yānzhi
严实	yánshi
阎王	yánwɑng
眼睛	yǎnjing
砚台	yàntɑi
央告	yānggɑo
秧歌	yāngge
养活	yǎnghuo
痒痒	yǎngyɑng
吆喝	yāohe
妖精	yāojing
要是	yàoshi
衣服	yīfu
衣裳	yīshɑng
姨夫	yífu
已经	yǐjing
意思	yìsi
应酬	yìngchou
硬朗	yìnglɑng
冤枉	yuānwɑng
约莫	yuēmo
月饼	yuèbing
月亮	yuèliɑng
月钱	yuèqiɑn
钥匙	yàoshi
云彩	yúncɑi
匀溜	yúnliu
匀实	yúnshi
杂碎	zásui
再不	zàibu
在乎	zàihu
早晨	zǎochen
早上	zǎoshɑng
咋呼	zhāhu
扎实	zhāshi
诈唬	zhàhu
栅栏	zhàlɑn
张罗	zhāngluo
丈母	zhàngmu
帐篷	zhàngpeng
招呼	zhāohu
招牌	zhāopɑi
找补	zhǎobu
折腾	zhēteng
针脚	zhēnjiɑo
芝麻	zhīmɑ
知识	zhīshi
直溜	zhíliu
指甲	zhǐjiɑ
主意	zhǔyi
属相	shǔxiɑng
转悠	zhuànyou
庄稼	zhuāngjiɑ
壮实	zhuàngshi
状元	zhuàngyuɑn
字号	zìhɑo
祖宗	zǔzong
嘴巴	zuǐbɑ
作坊	zuōfɑng
做作	zuòzuo
把子	bǎzi/bàzi
播种	bōzhòng/bōzhǒng
大夫	dàifu/dàfū
当年	dāngnián/dàngnián
当日	dāngrì/dàngrì
当时	dāngshí/dàngshí
当晚	dāngwǎn/dàngwǎn
倒车	dàochē/dǎochē
倒数	dàoshǔ/dàoshù
倒转	dàozhuàn
得了	déle/déliǎo
登场	dēngchǎng/dēngcháng
调配	diàopèi/tiáopèi
肚子	dùzi/dǔzi
分子	fēnzǐ/fènzǐ
杆子	gānzi/gǎnzi
干将	gànjiàng/gānjiāng
供养	gòngyǎng/gōngyǎng
好事	hǎoshì/hàoshì
教学	jiàoxué/jiāoxué
结果	jiéguǒ/jiēguǒ
尽量	jǐnliàng/jìnliàng
片子	piānzi/piànzi
便宜	piányi/biànyí
倾倒	qīngdào/qīngdǎo
受累	shòulèi/shòulěi
同行	tóngháng/tóngxíng
温和	wēnhé/wēnhuo
一晃	yīhuàng
应声	yìngshēng/yīngshēng
朝阳	zhāoyáng/cháoyáng
正当	zhèngdāng/zhèngdàng
转动	zhuàndòng/zhuǎndòng
转向	zhuǎnxiàng/zhuànxiàng
琢磨	zuómo/zhuómó
吧嗒	bādā/bādɑ
霸道	bàdào/bàdɑo
摆设	bǎishè/bǎishe
帮手	bāngshou
褒贬	bāobiǎn/bāobiɑn
本事	běnshi/běnshì
别人	biérén/biéren
裁缝	cáifeng/cáiféng
差使	chāishǐ
抽打	chōudǎ/chōudɑ
打手	dǎshou
大方	dàfɑng/dàfāng
大人	dàrén/dàren
大师傅	dàshīfu/dàshifu
大爷	dàye/dàyé
大意	dàyi/dàyì
德行	déxíng/déxing
滴答	dīdā/dīdɑ
地道	dìdào/dìdɑo
地方	dìfāng/dìfɑng
地下	dìxià/dìxiɑ
东西	dōngxī/dōngxi
端详	duānxiáng/duānxiɑng
对头	duìtóu/duìtou
多少	duōshǎo/duōshɑo
发送	fāsòng/fāsong
反正	fǎnzhèng
方丈	fāngzhɑng/fāngzhàng
废物	fèiwù/fèiwu
嘎巴	gābā/gābɑ
告诉	gàosu/gàosù
隔断	géduàn
跟前	gēnqián/gēnqiɑn
公道	gōngdào/gōngdɑo
故事	gùshi/gùshì
呱嗒	guādā/guādɑ
乖乖	guāiguāi/guāiguɑi
灌肠	guàncháng
过年	guònián/guòniɑn
过去	guòqù/guòqu
合计	héjì/héji
呼噜	hūlu/hūlū
花费	huāfèi/huāfei
滑溜	huáliu
惊醒	jīngxǐng
精神	jīngshén/jīngshen
开通	kāitōng/kāitong
口音	kǒuyīn
苦头	kútóu
来往	láiwǎng
劳动	láodòng/láodong
冷战	lěngzhàn/lěngzhɑn
利害	lihài/lìhɑi
粒子	lìzǐ/lìzi
买卖	mǎimɑi
忙活	mánghuo
眉目	méimù/méimu
门道	méndɑo/méndào
男人	nánrén/nánren
难处	nánchǔ
女人	nǚrén/nǚren
配合	pèihé/pèihe
扑打	pūdǎ/pūdɑ
铺盖	pūgài/pūgɑi
扑腾	pūtēng/pūteng
起火	qǐhuǒ/qǐhuo
妻子	qīzi/qīzǐ
千斤	qiānjīn/qiānjin
枪手	qiāngshǒu
人家	rénjiɑ/rénjiā
仁义	rényì/rényi
肉食	ròushí
丧气	sàngqì/sàngqi
上头	shàngtou/shàngtóu
烧锅	shāoguō
生意	shēngyi/shēngyì
实在	shízài/shízɑi
世故	shìgù/shìgu
受用	shòuyòng/shòuyong
说道	shuōdào/shuōdɑo
说法	shuōfǎ
斯文	síwen/sīwén
松散	sōngsǎn/sōngsɑn
特务	tèwù/tèwu
透亮	tòuliɑng
土地	tǔdì/Tǔdi
外道	wàidào/wàidɑo
外面	wàimiàn
文气	wénqì/wénqi
下场	xiàchǎng
下水	xiàshuǐ/xiàshui
下子	xiàzǐ/xiàzi
想法	xiǎngfǎ
小子	xiǎozi/xiǎozǐ
邪行	xiéxíng/xiéxing
刑法	xíngfǎ/xíngfɑ
星星	xīngxing/xīngxīng
兄弟	xiōngdì/xiōngdi
学生	xuéshēng
烟火	yānhuǒ/yānhuo
颜色	yánsè/yánshɑi
言语	yányǔ/yámyu
营生	yíngshēng/yíngsheng
运动	yùndòng/yùndong
运气	yùnqi/yùnqì
用人	yòngrén/yòngren
游子	yóuzǐ/yóuzi
造化	zàohuà/zàohuɑ
造作	zàozuo
丈夫	zhàngfu/zhàngfū
丈人	zhànqren/zhàngrén
照应	zhàoyìng/zhàoying
针眼	zhēnyǎn
正经	zhèngjing/zhèngjīng
中堂	zhōngtáng
自然	zìrán/zìrɑn
自在	zìzài/zìzɑi
阿巴丹	ābādān
阿巴岛	ābādǎo
阿巴思诺特	ābāsīnuòtè
阿巴斯港	ābāsīgǎng
阿巴伊达	ābāyīdá
阿爸	ābà
阿班凯	ābānkǎi
阿宝	ābǎo
阿比盖尔	ābǐgàiěr
阿比林市	ābǐlínshì
阿比让港	ābǐrànggǎng
阿比让市	ābǐràngshì
阿比西尼亚	ābǐxīníyà
阿炳	ābǐng
阿波罗	ābōluó
阿伯	ābó
阿卜达里	ābǔdálǐ
阿布迪斯	ābùdísī
阿布哈兹	ābùhāzī
阿布索伦	ābùsuǒlún
阿布扎比	ābùzhābǐ
阿昌族	āchāngzú
阿达纳市	ādánàshì
阿道弗斯	ādàofúsī
阿德来德	ādéláidé
阿德莱德	ādéláidé
阿迪达斯	ādídásī
阿迪生	ādíshēng
阿迪斯	ādísī
阿弟	ādì
阿蒂加斯	ādìjiāsī
阿爹	ādiē
阿斗	ādòu
阿尔阿尔	āěrāěr
阿尔巴尼亚	āěrbāníyà
阿尔拜赫雷	āěrbàihèléi
阿尔卑斯	āěrbēisī
阿尔卑斯山	āěrbēisīshān
阿尔贝德	āěrbèidé
阿尔比纳	āěrbǐnà
阿尔达比勒	āěrdábǐlè
阿尔丁东	āěrdīngdōng
阿尔法镇	āěrfǎzhèn
阿尔弗雷德	āěrfúléidé
阿尔甘德	āěrgāndé
阿尔及尔	āěrjíěr
阿尔及利亚	āěrjílìyà
阿尔卡特	āěrkǎtè
阿尔克温	āěrkèwēn
阿尔洛	āěrluò
阿尔马维尔	āěrmǎwéiěr
阿尔玛	āěrmǎ
阿尔梅勒	āěrméilè
阿尔萨斯	āěrsàsī
阿尔山	āěrshān
阿尔斯特	āěrsītè
阿尔泰克	āěrtàikè
阿尔泰山	āěrtàishān
阿尔泰省	āěrtàishěng
阿尔特道夫	āěrtèdàofū
阿尔托港	āěrtuōgǎng
阿房宫	āpánggōng
阿飞	āfēi
阿非利加	āfēilìjiā
阿芙乐尔	āfúlèěr
阿附	ēfù
阿富汗	āfùhàn
阿哥	āgē
阿格尼丝	āgénísī
阿根廷	āgēntíng
阿根廷队	āgēntíngduì
阿根廷湖	āgēntínghú
阿公	āgōng
阿古斯塔	āgǔsītǎ
阿訇	āhōng
阿基米德	ājīmǐdé
阿加德兹	ājiādézī
阿加迪尔	ājiādíěr
阿加尔塔拉	ājiāěrtǎlā
阿加尼亚	ājiāníyà
阿加莎	ājiāshā
阿胶	ējiāo
阿姐	ājiě
阿卡迪加	ākǎdíjiā
阿卡迪亚	ākǎdíyà
阿科松博	ākēsōngbó
阿克德米	ākèdémǐ
阿克拉	ākèlā
阿克赖特	ākèlàitè
阿克雷伊	ākèléiyī
阿克曼	ākèmàn
阿克莫拉	ākèmòlā
阿克茹特	ākèrútè
阿克苏	ākèsū
阿克陶县	ākètáoxiàn
阿拉	ālā
阿拉贝拉	ālābèilā
阿拉伯	ālābó
阿拉伯人	ālābórén
阿拉伯式	ālābóshì
阿拉伯数码	ālābóshùmǎ
阿拉伯数字	ālābóshùzì
阿拉伯语	ālābóyǔ
阿拉德市	ālādéshì
阿拉法特	ālāfǎtè
阿拉木图	ālāmùtú
阿拉尼哥	ālānígē
阿拉斯加	ālāsījiā
阿拉斯加州	ālāsījiāzhōu
阿莱格	āláigé
阿莱曼	āláimàn
阿莱尼亚	āláiníyà
阿勒根尼	ālègēnní
阿勒泰	ālètài
阿雷格里港	āléigélǐgǎng
阿雷基帕	āléijīpà
阿莉	ālì
阿里巴巴	ālǐbābā
阿里河	ālǐhé
阿里山	ālǐshān
阿里斯顿	ālǐsīdùn
阿里斯多德	ālǐsīduōdé
阿里特纳	ālǐtènà
阿里亚娜	ālǐyànà
阿丽亚娜	ālìyànà
阿利图斯	ālìtúsī
阿联酋	āliánqiú
阿灵顿县	ālíngdùnxiàn
阿鲁巴岛	ālǔbādǎo
阿鲁沙省	ālǔshāshěng
阿伦达尔	ālúndáěr
阿妈	āmā
阿马多拉	āmǎduōlā
阿玛	āmǎ
阿玛贝尔	āmǎbèiěr
阿曼	āmàn
阿曼里亚尔	āmànlǐyàěr
阿曼湾	āmànwān
阿猫阿狗	āmāoāgǒu
阿美利加	āměilìjiā
阿妹	āmèi
阿门	āmén
阿盟	āméng
阿弥陀佛	ēmítuófó
阿米巴	āmǐbā
阿米莉亚	āmǐlìyà
阿摩尼亚	āmóníyà
阿莫西林	āmòxīlín
阿默斯特	āmòsītè
阿母	āmǔ
阿姆哈拉	āmǔhālā
阿姆河	āmǔhé
阿姆斯特丹	āmǔsītèdān
阿姆斯特朗	āmǔsītèlǎng
阿穆尔河	āmùěrhé
阿穆尔州	āmùěrzhōu
阿纳德尔	ānàdéěr
阿纳多卢	ānàduōlú
阿囡	ānān
阿彭策尔	āpéngcèěr
阿片	āpiàn
阿婆	āpó
阿普里尔	āpǔlǐěr
阿奇博尔德	āqíbóěrdé
阿塞拜疆	āsāibàijiāng
阿嫂	āsǎo
阿瑟港	āsègǎng
阿森松岛	āsēnsōngdǎo
阿婶	āshěn
阿诗玛	āshīmǎ
阿什塔拉克	āshéntǎlākè
阿是穴	āshìxué
阿司匹林	āsīpǐlín
阿斯马拉	āsīmǎlā
阿斯匹林	āsīpǐlín
阿斯塔纳	āsītǎnà
阿斯特拉	āsītèlā
阿斯特拉罕	āsītèlāhǎn
阿斯特丽德	āsītèlìdé
阿索格斯	āsuǒgésī
阿特金斯	ātèjīnsī
阿特拉斯	ātèlāsī
阿嚏	ātì
阿托品	ātuōpǐn
阿瓦查潘	āwǎchápān
阿瓦拉山	āwǎlāshān
阿瓦提县	āwǎtíxiàn
阿万达罗	āwàndáluó
阿维西奥	āwéixīào
阿维亚诺	āwéiyànuò
阿文提斯	āwéntísī
阿亚古兹	āyàgǔzī
阿亚库乔	āyàkùqiáo
阿亚库乔港	āyàkùqiáogǎng
阿伊马拉	āyīmǎlā
阿依提斯	āyītísī
阿姨	āyí
阿谀	ēyú
阿谀逢迎	ēyúféngyíng
阿谀奉承	ēyúfèngchéng
阿月浑子	āyuèhúnzǐ
阿扎尼亚	āzhāníyà
阿治曼	āzhìmàn
阿兹罗姆	āzīluómǔ
阿兹特克	āzītèkè
啊呀	āyɑ
啊哟	āyō
哎呀	āiyɑ
哀兵必胜	āibīngbìshèng
哀悼	āidào
哀而不伤	āiérbùshāng
哀感顽艳	āigǎnwányàn
哀号	āiháo
哀鸿遍野	āihóngbiànyě
哀毁骨立	āihuǐgǔlì
哀叫	āijiào
哀乐	āiyuè/āilè
哀莫大于心死	āimòdàyúxīnsǐ
哀求	āiqiú
哀伤	āishāng
哀思	āisī
哀叹	āitàn
哀怨	āiyuàn
唉声	āishēng
唉声叹气	āishēngtànqì
唉呀	āiyɑ
埃德蒙顿	āidéméngdùn
埃迪卡拉	āidíkǎlā
埃尔比勒	āiěrbǐlè
埃尔伯特	āiěrbótè
埃尔芬斯通	āiěrfēnsītōng
埃尔哈特	āiěrhātè
埃夫拉特	āifūlātè
埃克塞特	āikèsāitè
埃克斯特	āikèsītè
埃拉特湾	āilātèwān
埃里克市	āilǐkèshì
埃莫西约	āimòxīyuē
埃奇沃思	āiqíwòsī
埃塞俄比亚	āisāiébǐyà
埃思里奇	āisīlǐqí
埃斯蒙德	āisīméngdé
埃松省	āisōngshěng
挨次	āicì
挨打	áidǎ
挨冻	áidòng
挨斗	áidòu
挨饿	áiè
挨罚	āifá
挨个	āigè
挨户	āihù
挨挤	áijǐ
挨家	āijiā
挨家挨户	āijiāāihù
挨肩	āijiān
挨近	āijìn
挨靠	āikào
挨骂	áimà
挨门	āimén
挨门挨户	āiménāihù
挨批	áipī
挨整	áizhěng
挨着	āizhe
挨揍	áizòu
癌扩散	áikuòsàn
癌症	áizhèng
矮矮的	ǎiǎide
矮小	ǎixiǎo
艾比盖尔	àibǐgàiěr
艾伯克龙比	àibókèlóngbǐ
艾尔沙德	àiěrshādé
艾佛莱特	àifóláitè
艾哈迈迪	àihāmàidí
艾斯灵顿	àisīlíngdùn
艾滋病	àizībìng
爱不释手	àibùshìshǒu
爱财如命	àicáirúmìng
爱称	àichēng
爱达荷州	àidáhézhōu
爱戴	àidài
爱丁堡	àidīngbǎo
爱尔塞克	àiěrsāikè
爱尔斯伯里	àiěrsībólǐ
爱抚	àifǔ
爱国	àiguó
爱国会	àiguóhuì
爱国热情	àiguórèqíng
爱国人士	àiguórénshì
爱国卫生运动	àiguówèishēngyùndòng
爱国心	àiguóxīn
爱国者	àiguózhě
爱国主义	àiguózhǔyì
爱好	àihào
爱好者	àihàozhě
爱护	àihù
爱将	àijiāng
爱克斯光	àikèsīguāng
爱克斯射线	àikèsīshèxiàn
爱丽舍宫	àilìshěgōng
爱美	àiměi
爱民	àimín
爱莫能助	àimònéngzhù
爱慕	àimù
爱妻	àiqī
爱钱如命	àiqiánrúmìng
爱情	àiqíng
爱人民	àirénmín
爱沙尼亚	àishāníyà
爱委会	àiwěihuì
爱卫会	àiwèihuì
爱屋及乌	àiwūjíwū
爱惜	àixī
爱憎	àizēng
爱憎分明	àizēngfēnmíng
碍难	àinán
碍手碍脚	àishǒuàijiǎo
暧昧	àimèi
暧昧关系	àimèiguānxi
安安静静	ānānjìngjìng
安安稳稳	ānānwěnwěn
安邦定国	ānbāngdìngguó
安不忘危	ānbùwàngwēi
安步当车	ānbùdàngchē
安大略	āndàlüè
安得拉邦	āndélābāng
安迪梅谢克	āndíméixièkè
安定	āndìng
安定团结	āndìngtuánjié
安度	āndù
安顿	āndùn
安放	ānfàng
安分	ānfèn
安分守己	ānfènshǒujǐ
安抚	ānfǔ
安哥拉	āngēlā
安好	ānhǎo
安徽	Ānhuī
安徽大学	Ānhuī	Dàxué
安徽教育出版社	Ānhuījiàoyùchūbǎnshè
安徽省	Ānhuī	Shěng
安魂曲	ānhúnqǔ
安加拉河	Ānjiālāhé
安家	ānjiā
安家费	ānjiāfèi
安家立业	ānjiālìyè
安家落户	ānjiāluòhù
安静	ānjìng
安居	ānjū
安居乐业	ānjūlèyè
安卡拉	ānkǎlā
安康	ānkāng
安克雷奇	ānkèléiqí
安乐	ānlè
安乐死	ānlèsǐ
安乐窝	ānlèwō
安乐椅	ānlèyǐ
安理会	ānlǐhuì
安盟	ānméng
安谧	ānmì
安民	ānmín
安民告示	ānmíngàoshì
安娜贝拉	ānnàbèilā
